Name,Identifier,UID,Major,Minor,Power,Image location,Image Name
Roximity,White,8DEEFBB9-F738-4297-8040-96668BB44281,1,2822,-59,http://uvac.uvic.ca/images/header/artoncampus.jpg,Uvic Art
Estimote,Samarth's iPad,D701BBC7-5BE5-4D93-BE07-3F216674D1B9,5187,8855,-58,,
Macbook,Rohit,ECABCF8F-23F0-4531-9522-3E75C3A40EA3,200,1000,-59,http://www.uvac.uvic.ca//images/Imageflipper/3.jpg,First People's House
Estimote,Blue,D701BBC7-5BE5-4D93-BE07-3F216674D1B9,2,8855,-58,,
Estimote,Green,D701BBC7-5BE5-4D93-BE07-3F216674D1B9,3,8855,-58,,
Estimote,White,D701BBC7-5BE5-4D93-BE07-3F216674D1B9,4,8855,-58,,
